study_hours,attendance,participation,extra_curricular,sleep_hours,stress_level,motivation_score,parent_education,previous_gpa,assignment_completion,grade
17.3,75.2,0.6,6.0,6.2,6.4,7.4,0,2.52,50.9,C
14.7,87.8,1.4,1.0,4.7,4.3,5.1,0,2.42,70.9,C
9.5,70.8,6.8,1.7,6.1,2.1,5.5,2,3.29,58.7,C
21.8,80.6,9.2,0.3,7.6,2.8,1.4,1,2.19,56.3,C
6.7,81.9,0.7,10.0,6.0,8.0,2.8,1,3.42,86.3,C
15.5,59.9,0.6,1.1,7.8,3.9,7.6,1,3.3,68.3,C
19.4,77.6,5.2,1.7,8.4,1.2,2.0,0,2.85,58.9,C
18.8,68.5,0.8,1.0,7.4,2.5,9.4,0,3.1,92.3,B
8.0,69.6,2.3,1.7,6.1,8.4,8.7,3,2.8,65.0,D
12.3,80.6,7.0,1.4,4.1,9.7,9.7,0,2.79,58.1,D
5.7,75.7,1.4,2.0,6.9,9.9,3.2,0,3.49,54.3,D
4.5,67.4,8.4,1.2,6.6,2.7,1.4,0,3.82,41.0,C
4.0,67.0,9.4,0.4,8.4,4.1,2.0,1,3.29,89.0,C
10.7,60.7,3.5,3.9,7.9,9.1,9.0,1,3.17,45.0,C
19.4,100.0,6.5,0.8,7.1,7.4,3.1,0,3.5,79.0,B
11.7,61.6,2.4,10.0,5.6,4.5,9.0,1,3.53,70.2,C
4.1,65.1,9.4,9.2,7.1,9.2,4.3,3,3.08,97.8,C
7.6,66.9,5.6,8.3,5.9,7.3,6.1,1,2.94,99.4,C
20.7,91.0,3.6,1.0,7.8,8.3,8.3,3,3.11,87.9,A
16.3,64.2,0.9,2.6,4.7,1.3,5.2,2,1.73,75.4,D
6.6,69.4,6.2,0.3,7.3,1.5,5.8,0,4.0,83.6,B
11.5,72.7,0.8,0.1,4.5,9.7,8.5,1,2.34,50.4,D
13.8,62.9,9.5,4.0,7.6,6.0,6.5,3,1.89,61.4,C
5.7,62.5,4.3,1.5,6.4,6.5,6.7,2,2.72,77.6,D
20.2,80.4,0.3,2.6,5.8,9.5,6.2,2,3.75,67.5,D
17.3,72.2,3.2,5.6,6.7,1.2,8.3,1,2.43,81.8,B
17.3,68.1,7.5,4.9,5.8,9.9,4.7,1,3.57,60.4,C
24.3,78.1,8.3,1.2,7.6,9.1,4.5,2,2.64,97.0,B
11.3,65.9,6.7,4.2,5.0,8.1,8.1,0,2.79,43.5,D
20.2,94.3,0.8,3.6,5.9,1.8,9.9,0,2.94,62.5,A
14.1,75.4,5.6,1.7,6.1,5.2,1.5,3,2.8,47.1,C
6.5,79.1,2.9,6.1,6.8,1.7,6.0,0,2.81,98.2,B
7.7,68.8,9.0,0.1,6.4,6.6,3.5,2,3.39,51.3,D
22.4,82.3,6.8,0.5,4.9,9.4,8.8,2,3.9,42.7,B
6.8,76.6,4.1,1.0,8.0,1.5,8.8,2,2.8,86.1,B
21.5,61.6,6.7,2.9,7.1,4.2,2.0,0,2.95,86.3,B
20.0,75.0,1.3,0.1,7.7,7.8,6.6,3,2.22,48.2,C
1.6,80.4,7.8,1.5,4.0,6.6,8.8,0,2.79,55.5,C
16.0,62.3,0.8,0.4,7.3,2.2,2.4,3,3.02,50.9,D
19.6,72.6,0.4,0.6,5.9,3.5,2.6,0,1.94,61.9,D
23.7,69.6,8.7,7.6,6.8,1.5,3.5,2,3.17,51.1,A
17.0,70.5,7.5,0.1,4.0,3.3,7.4,2,2.82,71.9,B
18.2,68.9,0.2,1.2,4.8,2.9,3.9,1,3.81,87.4,C
7.9,72.7,1.3,1.0,8.4,4.3,6.8,0,1.65,99.2,C
3.7,70.2,1.9,1.0,5.9,2.6,9.1,0,2.83,64.6,D
16.4,69.3,6.7,8.0,5.9,6.0,6.1,1,3.36,51.2,C
19.7,81.1,2.9,2.6,5.4,2.4,5.3,2,2.41,60.2,C
6.9,69.3,4.1,1.3,9.4,9.4,8.5,0,2.9,50.9,D
14.8,82.1,2.0,0.5,6.0,2.5,8.3,1,2.97,61.5,B
8.0,69.9,3.0,4.1,4.0,5.5,3.1,0,2.66,72.6,D
11.4,60.3,1.4,4.7,7.9,6.6,5.8,3,2.91,49.1,D
10.0,96.1,8.8,1.3,7.0,8.4,2.0,2,3.57,49.0,C
23.3,83.0,2.5,1.3,8.8,2.6,9.2,3,1.73,67.7,A
5.7,99.4,9.2,3.7,7.2,2.4,6.2,2,2.0,84.2,A
7.6,78.7,5.9,1.5,7.8,1.5,4.0,1,2.19,72.2,D
9.3,60.0,4.5,0.5,6.2,2.6,5.5,2,3.28,61.7,C
18.2,74.8,0.9,10.0,5.2,5.5,6.4,2,2.81,52.6,C
12.0,100.0,0.7,4.5,5.2,5.1,5.7,1,1.55,73.6,D
13.1,61.1,6.4,1.6,5.6,1.2,2.4,2,3.36,41.6,C
12.5,79.2,1.8,3.2,6.3,3.1,1.9,0,3.29,91.3,C
6.9,85.1,0.1,0.3,6.1,2.9,1.2,1,3.0,65.3,D
8.9,87.1,4.1,2.4,4.8,4.9,3.7,1,3.38,88.0,C
11.4,61.8,1.4,5.4,7.4,9.9,5.7,1,2.48,41.1,F
2.8,72.4,0.1,0.4,7.1,9.1,8.9,3,3.77,79.9,C
6.4,84.2,0.8,2.8,5.6,3.2,4.5,3,2.25,83.1,D
27.3,79.1,2.1,0.1,6.7,3.4,6.4,2,2.8,75.8,C
24.0,77.6,6.9,1.7,8.6,3.2,8.4,1,3.18,56.3,A
